rank in month,date,"sea level (m, MHHW)",month,station_name,station_id,type
1,1974-01-08 14:00:00,0.359,1,Honolulu,1612340,max
2,1969-01-17 14:00:00,0.35599999999999987,1,Honolulu,1612340,max
3,2018-01-29 13:00:00,0.3380000000000001,1,Honolulu,1612340,max
4,2020-01-11 15:00:00,0.33499999999999996,1,Honolulu,1612340,max
5,2018-01-01 14:00:00,0.32899999999999974,1,Honolulu,1612340,max
6,2022-01-15 12:00:00,0.32299999999999995,1,Honolulu,1612340,max
7,2021-01-11 13:00:00,0.32099999999999973,1,Honolulu,1612340,max
8,2022-01-02 14:00:00,0.31800000000000006,1,Honolulu,1612340,max
9,1996-01-19 13:00:00,0.31000000000000005,1,Honolulu,1612340,max
10,1949-01-16 15:00:00,0.3009999999999997,1,Honolulu,1612340,max
1,2021-02-10 14:00:00,0.2929999999999997,2,Honolulu,1612340,max
2,2018-02-01 15:00:00,0.2749999999999999,2,Honolulu,1612340,max
3,2020-02-09 14:00:00,0.2589999999999999,2,Honolulu,1612340,max
4,2017-02-09 13:00:00,0.256,2,Honolulu,1612340,max
5,2016-02-09 15:00:00,0.246,2,Honolulu,1612340,max
6,2022-02-01 15:00:00,0.238,2,Honolulu,1612340,max
7,2005-02-08 14:00:00,0.23699999999999988,2,Honolulu,1612340,max
8,1985-02-04 13:00:00,0.23399999999999999,2,Honolulu,1612340,max
9,2021-02-25 13:00:00,0.23299999999999987,2,Honolulu,1612340,max
10,2024-02-09 14:00:00,0.23199999999999998,2,Honolulu,1612340,max
1,1977-03-25 05:00:00,0.2549999999999999,3,Honolulu,1612340,max
2,2017-03-09 12:00:00,0.20199999999999996,3,Honolulu,1612340,max
3,2005-03-08 13:00:00,0.18199999999999994,3,Honolulu,1612340,max
4,1993-03-05 12:00:00,0.1609999999999998,3,Honolulu,1612340,max
5,2021-03-09 12:00:00,0.1569999999999998,3,Honolulu,1612340,max
6,1988-03-16 13:00:00,0.1549999999999998,3,Honolulu,1612340,max
7,2024-03-08 13:00:00,0.15399999999999991,3,Honolulu,1612340,max
8,1943-03-06 13:00:00,0.1489999999999998,3,Honolulu,1612340,max
9,2020-03-10 15:00:00,0.1439999999999999,3,Honolulu,1612340,max
10,2004-03-01 11:00:00,0.1419999999999999,3,Honolulu,1612340,max
1,2017-04-29 04:00:00,0.359,4,Honolulu,1612340,max
2,2017-04-26 02:00:00,0.2669999999999999,4,Honolulu,1612340,max
3,1995-04-18 04:00:00,0.22199999999999998,4,Honolulu,1612340,max
4,2021-04-29 03:00:00,0.21699999999999986,4,Honolulu,1612340,max
5,2020-04-11 04:00:00,0.20899999999999985,4,Honolulu,1612340,max
6,1988-04-19 04:00:00,0.19399999999999995,4,Honolulu,1612340,max
7,2011-04-19 03:00:00,0.18099999999999983,4,Honolulu,1612340,max
8,2020-04-05 12:00:00,0.16999999999999993,4,Honolulu,1612340,max
9,2007-04-21 05:00:00,0.1589999999999998,4,Honolulu,1612340,max
10,2006-04-01 04:00:00,0.1569999999999998,4,Honolulu,1612340,max
1,2017-05-26 02:00:00,0.36099999999999977,5,Honolulu,1612340,max
2,2017-05-01 06:00:00,0.28600000000000003,5,Honolulu,1612340,max
3,1988-05-31 02:00:00,0.2799999999999998,5,Honolulu,1612340,max
4,2004-05-08 05:00:00,0.2799999999999998,5,Honolulu,1612340,max
5,2016-05-08 03:00:00,0.266,5,Honolulu,1612340,max
6,2005-05-25 03:00:00,0.258,5,Honolulu,1612340,max
7,1959-05-22 03:00:00,0.2489999999999999,5,Honolulu,1612340,max
8,2021-05-29 04:00:00,0.246,5,Honolulu,1612340,max
9,2020-05-08 02:00:00,0.244,5,Honolulu,1612340,max
10,2017-05-13 03:00:00,0.23699999999999988,5,Honolulu,1612340,max
1,2017-06-24 02:00:00,0.391,6,Honolulu,1612340,max
2,2003-06-14 02:00:00,0.35699999999999976,6,Honolulu,1612340,max
3,2004-06-04 03:00:00,0.34799999999999986,6,Honolulu,1612340,max
4,2020-06-05 01:00:00,0.33899999999999997,6,Honolulu,1612340,max
5,2016-06-06 03:00:00,0.33599999999999985,6,Honolulu,1612340,max
6,2020-06-23 03:00:00,0.31099999999999994,6,Honolulu,1612340,max
7,1959-06-21 02:00:00,0.31000000000000005,6,Honolulu,1612340,max
8,1995-06-14 03:00:00,0.3009999999999997,6,Honolulu,1612340,max
9,1988-06-01 03:00:00,0.29499999999999993,6,Honolulu,1612340,max
10,2018-06-14 02:00:00,0.29499999999999993,6,Honolulu,1612340,max
1,2020-07-20 02:00:00,0.4039999999999999,7,Honolulu,1612340,max
2,2020-07-05 02:00:00,0.383,7,Honolulu,1612340,max
3,2024-07-21 02:00:00,0.371,7,Honolulu,1612340,max
4,1995-07-11 01:00:00,0.359,7,Honolulu,1612340,max
5,2008-07-31 01:00:00,0.33999999999999986,7,Honolulu,1612340,max
6,2008-07-04 03:00:00,0.3380000000000001,7,Honolulu,1612340,max
7,2016-07-04 02:00:00,0.33099999999999996,7,Honolulu,1612340,max
8,2019-07-31 01:00:00,0.33000000000000007,7,Honolulu,1612340,max
9,2018-07-14 03:00:00,0.32399999999999984,7,Honolulu,1612340,max
10,1978-07-21 03:00:00,0.31899999999999995,7,Honolulu,1612340,max
1,2017-08-21 01:00:00,0.4209999999999998,8,Honolulu,1612340,max
2,2019-08-02 03:00:00,0.3820000000000001,8,Honolulu,1612340,max
3,2024-08-20 02:00:00,0.3500000000000001,8,Honolulu,1612340,max
4,2020-08-02 01:00:00,0.34499999999999975,8,Honolulu,1612340,max
5,2020-08-20 02:00:00,0.34499999999999975,8,Honolulu,1612340,max
6,2017-08-17 23:00:00,0.33899999999999997,8,Honolulu,1612340,max
7,2023-08-01 01:00:00,0.32399999999999984,8,Honolulu,1612340,max
8,2006-08-09 02:00:00,0.32299999999999995,8,Honolulu,1612340,max
9,1991-08-09 01:00:00,0.31899999999999995,8,Honolulu,1612340,max
10,2008-08-01 02:00:00,0.3169999999999997,8,Honolulu,1612340,max
1,1992-09-12 02:00:00,0.4049999999999998,9,Honolulu,1612340,max
2,2003-09-24 00:00:00,0.34499999999999975,9,Honolulu,1612340,max
3,2020-09-15 00:00:00,0.33499999999999996,9,Honolulu,1612340,max
4,2024-09-16 01:00:00,0.33199999999999985,9,Honolulu,1612340,max
5,2003-09-09 01:00:00,0.3129999999999997,9,Honolulu,1612340,max
6,2018-09-08 01:00:00,0.2959999999999998,9,Honolulu,1612340,max
7,2020-09-01 01:00:00,0.2929999999999997,9,Honolulu,1612340,max
8,2003-09-05 23:00:00,0.29000000000000004,9,Honolulu,1612340,max
9,2024-09-22 18:00:00,0.2799999999999998,9,Honolulu,1612340,max
10,2003-09-30 18:00:00,0.2769999999999997,9,Honolulu,1612340,max
1,2020-10-19 16:00:00,0.391,10,Honolulu,1612340,max
2,2024-10-18 15:00:00,0.3679999999999999,10,Honolulu,1612340,max
3,2003-10-26 15:00:00,0.3129999999999997,10,Honolulu,1612340,max
4,2023-10-30 15:00:00,0.31000000000000005,10,Honolulu,1612340,max
5,2016-10-18 15:00:00,0.29899999999999993,10,Honolulu,1612340,max
6,1981-10-16 16:00:00,0.29800000000000004,10,Honolulu,1612340,max
7,2006-10-09 16:00:00,0.2909999999999999,10,Honolulu,1612340,max
8,2003-10-01 19:00:00,0.2889999999999997,10,Honolulu,1612340,max
