Rank,Highest,Highest Date,Highest ONI Mode,Lowest,Lowest Date,Lowest ONI Mode,Zone,ONI max,ONI min
1,0.509,2020-01-12 15:00,Neutral,-1.02,1998-05-25 18:00,Neutral,GMT,0.5,-0.13
2,0.483,2017-07-23 01:00,Neutral,-1.006,2000-01-21 07:00,La Nina,GMT,-0.11,-1.41
3,0.479,2016-12-14 14:00,La Nina,-1.002,1998-12-03 06:00,La Nina,GMT,-0.56,-1.57
4,0.471,2024-01-12 14:00,El Nino,-0.99,1998-06-21 17:00,Neutral,GMT,1.78,-0.78
5,0.456,2019-12-26 14:00,Neutral,-0.989,2012-12-14 07:00,Neutral,GMT,0.5,-0.21
6,0.452,2024-08-20 02:00,Neutral,-0.985,1994-05-24 18:00,Neutral,GMT,-0.21,0.41
7,0.451,2021-12-04 14:00,Neutral,-0.982,2011-12-25 07:00,La Nina,GMT,-0.98,-0.86
8,0.442,2020-12-14 13:00,La Nina,-0.981,2000-02-19 06:00,La Nina,GMT,-1.19,-1.07
9,0.441,2020-08-18 01:00,Neutral,-0.981,2010-01-01 07:00,El Nino,GMT,-0.89,1.5
10,0.44,2005-01-10 14:00,El Nino,-0.979,2002-01-28 06:00,Neutral,GMT,0.64,0.03
