Rank,Highest,Highest Date,Highest ONI Mode,Lowest,Lowest Date,Lowest ONI Mode,Zone,ONI max,ONI min
1,0.701,2015-01-21 17:00,Neutral,-1.094,1995-02-03 00:00,El Nino,GMT,0.47,0.72
2,0.543,2004-01-15 10:00,Neutral,-1.093,2015-03-20 22:00,Neutral,GMT,0.37,0.7
3,0.533,2023-01-22 17:00,Neutral,-1.068,2011-03-19 22:00,La Nina,GMT,-0.43,-0.73
4,0.503,1994-10-05 16:00,Neutral,-1.067,2016-02-09 23:00,El Nino,GMT,0.74,2.14
5,0.497,2019-10-28 16:00,Neutral,-1.063,1993-02-08 23:00,Neutral,GMT,0.51,0.3
6,0.491,2003-01-19 17:00,El Nino,-1.055,2016-02-21 21:00,El Nino,GMT,0.63,1.58
7,0.486,2017-01-13 17:00,Neutral,-1.039,1995-01-29 21:00,El Nino,GMT,-0.34,0.72
8,0.48,2023-11-24 14:00,El Nino,-1.027,2002-03-27 21:00,Neutral,GMT,1.95,0.2
9,0.478,2001-01-12 18:00,La Nina,-1.025,2011-02-02 22:00,La Nina,GMT,-0.68,-1.19
10,0.466,2011-09-28 16:00,Neutral,-1.018,1994-12-03 23:00,Neutral,GMT,-1.01,1.09
