Rank,Highest,Highest Date,Highest ONI Mode,Lowest,Lowest Date,Lowest ONI Mode,Zone,ONI max,ONI min
1,0.611,2019-12-25 14:00,Neutral,-0.9,2000-01-21 07:00,La Nina,GMT,0.5,-1.41
2,0.597,2020-11-15 14:00,Neutral,-0.877,2000-02-04 07:00,La Nina,GMT,-1.27,-1.41
3,0.586,2020-12-15 15:00,La Nina,-0.874,2000-02-19 07:00,La Nina,GMT,-1.19,-1.07
4,0.583,2020-01-11 15:00,Neutral,-0.86,1995-01-01 07:00,El Nino,GMT,0.5,0.96
5,0.569,2017-07-24 03:00,Neutral,-0.854,1995-01-31 08:00,El Nino,GMT,-0.11,0.72
6,0.539,2020-08-19 02:00,Neutral,-0.854,1999-02-16 08:00,La Nina,GMT,-0.89,-1.07
7,0.516,2017-08-21 02:00,Neutral,-0.853,2010-02-28 20:00,El Nino,GMT,-0.38,0.84
8,0.506,2020-06-05 02:00,Neutral,-0.849,2000-01-18 05:00,La Nina,GMT,-0.3,-1.41
9,0.505,2016-12-15 15:00,La Nina,-0.838,2000-12-11 06:00,La Nina,GMT,-0.56,-0.74
10,0.5,2024-08-20 02:00,Neutral,-0.83,1995-12-22 07:00,La Nina,GMT,-0.21,-0.9
