Rank,Highest,Highest Date,Highest ONI Mode,Lowest,Lowest Date,Lowest ONI Mode,Zone,ONI max,ONI min
1,0.489,2019-12-26 14:00,Neutral,-0.957,2002-02-27 06:00,Neutral,GMT,0.5,0.09
2,0.442,2017-08-21 00:00,Neutral,-0.945,2009-05-24 18:00,Neutral,GMT,-0.38,0.28
3,0.423,2017-04-29 03:00,Neutral,-0.923,2003-12-23 05:00,Neutral,GMT,0.3,0.37
4,0.423,2021-12-05 14:00,Neutral,-0.919,2009-12-31 05:00,El Nino,GMT,-0.98,1.5
5,0.412,2020-12-15 14:00,La Nina,-0.915,1999-01-01 05:00,La Nina,GMT,-1.19,-1.55
6,0.411,2020-01-10 13:00,Neutral,-0.914,2001-01-10 06:00,La Nina,GMT,0.5,-0.68
7,0.406,2008-12-13 14:00,Neutral,-0.91,2010-04-28 18:00,Neutral,GMT,-0.73,-0.17
8,0.399,2004-11-13 14:00,Neutral,-0.91,2011-12-25 06:00,La Nina,GMT,0.66,-0.86
9,0.399,2017-05-27 02:00,Neutral,-0.909,1999-05-15 18:00,La Nina,GMT,0.31,-1.02
10,0.398,2020-07-22 02:00,Neutral,-0.909,2009-06-23 19:00,Neutral,GMT,-0.57,0.45
